crop_id	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	crop_code	comment
30	0.17	0.26	0.44	0.72	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.97	0.96	0.95	0.94	0.93	0.92	0.91	0.90	0.88	0.85	BLUEBERRIES	added for CRVO  5-28-93
31	0.15	0.17	0.24	0.35	0.49	0.64	0.79	0.92	1.02	1.06	1.08	1.09	1.09	1.09	1.08	1.07	1.05	1.03	1.00	0.97	0.94	BROCCOLI	added for CRVO  5-28-93
32	0.15	0.17	0.23	0.33	0.46	0.60	0.73	0.85	0.95	1.00	1.01	1.00	0.99	0.97	0.95	0.92	0.90	0.88	0.86	0.83	0.80	TRAILING	ERRIES  added for CRVO  5-28-93
33	0.15	0.25	0.35	0.38	0.45	0.54	0.65	0.75	0.84	0.91	0.95	0.94	0.94	0.90	0.82	0.68	0.50	0.40	0.30	0.25	0.20	CABBAGE	added for CRVO  5-28-93
34	0.20	0.20	0.23	0.31	0.42	0.53	0.66	0.77	0.84	0.89	0.95	1.03	1.07	1.08	1.08	1.07	1.04	1.00	0.79	0.56	0.36	PEAR	Modified by Soiltest 3/94
35	0.25	0.30	0.36	0.43	0.50	0.60	0.63	0.66	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.65	0.60	0.40	PASTURE	Modified 2-16-94 by Jim Wright
36	0.30	0.50	0.50	0.50	0.50	0.55	0.69	0.82	0.95	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.87	0.75	0.62	0.50	ONI/GARL/LILY	Modified 2-16-94 by Jim Wright
37	0.30	0.33	0.37	0.41	0.45	0.50	0.56	0.64	0.78	0.90	0.95	0.95	0.93	0.89	0.85	0.78	0.64	0.53	0.42	0.32	0.22	BLUEGRASS	(FALL SEEDED)  Added 2-16-94 J Wright
38	0.22	0.24	0.26	0.30	0.35	0.45	0.55	0.65	0.77	0.93	1.00	1.00	1.00	1.00	0.98	0.94	0.89	0.85	0.80	0.75	0.70	BEETS	Modified 2-16-94 by Jim Wright
39	0.15	0.20	0.47	0.58	0.69	0.75	0.80	0.80	0.80	0.80	0.80	0.80	0.80	0.80	0.80	0.80	0.80	0.80	0.80	0.80	0.80	LAWN/TURF	Modified 2-17-94 by Jim Wright
40	0.30	0.36	0.47	0.63	0.78	0.88	0.93	0.96	0.97	0.97	0.97	0.96	0.95	0.93	0.89	0.80	0.50	0.35	0.30	0.27	0.25	BLUEGRASS	(ESTABLISHED) added 2-18-94 Wright
41	0.20	0.22	0.36	0.56	0.71	0.81	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	CRANBERRIES	Modified by USBR 3/94
42	0.20	0.20	0.30	0.60	0.83	0.94	0.98	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.96	0.76	0.60	0.43	0.28	RAPE	(canola)from Conrad, MT exp. station 6-94
43	0.16	0.17	0.22	0.31	0.42	0.54	0.66	0.76	0.84	0.89	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.92	0.85	0.78	0.72	PEPPERMINT	Revised 5-9-95 Allan Mitchell, OSU
44	0.04	0.10	0.15	0.21	0.25	0.31	0.35	0.41	0.46	0.50	0.50	0.49	0.48	0.46	0.44	0.40	0.33	0.19	0.05	0.01	0.01	CARROT SEED	Revised 5-9-95 Jim Burr, Consult
45	0.04	0.07	0.10	0.13	0.18	0.23	0.29	0.35	0.38	0.42	0.41	0.40	0.38	0.36	0.32	0.27	0.20	0.10	0.05	0.01	0.01	CARROT SEED	Revised 7-3-96 Jim Burr, Consult
